Região;Sigla UF;UF;Código IBGE Município;Município;Tipo Crime;Mês;Mês/Ano;PC-Qtde Ocorrências
CENTRO-OESTE;DF;Distrito Federal;530010801;Bras­lia;Estupro;1;jan/05;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Bras­lia;Estupro;3;mar/05;2
CENTRO-OESTE;DF;Distrito Federal;530010801;Bras­lia;Estupro;4;abr/05;11
CENTRO-OESTE;DF;Distrito Federal;530010801;Bras­lia;Estupro;5;mai/05;3
CENTRO-OESTE;DF;Distrito Federal;530010801;Bras­lia;Estupro;6;jun/05;2
CENTRO-OESTE;DF;Distrito Federal;530010801;Bras­lia;Estupro;7;jul/05;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Bras­lia;Estupro;9;set/05;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Bras­lia;Estupro;10;out/05;4
CENTRO-OESTE;DF;Distrito Federal;530010801;Bras­lia;Estupro;11;nov/05;2
CENTRO-OESTE;DF;Distrito Federal;530010801;Bras­lia;Estupro;12;dez/05;2
CENTRO-OESTE;DF;Distrito Federal;530010801;Bras­lia;Furto de ve­culo;1;jan/05;192
CENTRO-OESTE;DF;Distrito Federal;530010801;Bras­lia;Furto de ve­culo;2;fev/05;177
CENTRO-OESTE;DF;Distrito Federal;530010801;Bras­lia;Furto de ve­culo;3;mar/05;211
CENTRO-OESTE;DF;Distrito Federal;530010801;Bras­lia;Furto de ve­culo;4;abr/05;217
CENTRO-OESTE;DF;Distrito Federal;530010801;Bras­lia;Furto de ve­culo;5;mai/05;210
CENTRO-OESTE;DF;Distrito Federal;530010801;Bras­lia;Furto de ve­culo;6;jun/05;251
CENTRO-OESTE;DF;Distrito Federal;530010801;Bras­lia;Furto de ve­culo;7;jul/05;188
CENTRO-OESTE;DF;Distrito Federal;530010801;Bras­lia;Furto de ve­culo;8;ago/05;177
CENTRO-OESTE;DF;Distrito Federal;530010801;Bras­lia;Furto de ve­culo;9;set/05;196
CENTRO-OESTE;DF;Distrito Federal;530010801;Bras­lia;Furto de ve­culo;10;out/05;220
CENTRO-OESTE;DF;Distrito Federal;530010801;Bras­lia;Furto de ve­culo;11;nov/05;230
CENTRO-OESTE;DF;Distrito Federal;530010801;Bras­lia;Furto de ve­culo;12;dez/05;242
CENTRO-OESTE;DF;Distrito Federal;530010801;Bras­lia;Homic­dio doloso;3;mar/05;4
CENTRO-OESTE;DF;Distrito Federal;530010801;Bras­lia;Homic­dio doloso;4;abr/05;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Bras­lia;Homic­dio doloso;5;mai/05;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Bras­lia;Homic­dio doloso;6;jun/05;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Bras­lia;Homic­dio doloso;7;jul/05;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Bras­lia;Homic­dio doloso;8;ago/05;3
CENTRO-OESTE;DF;Distrito Federal;530010801;Bras­lia;Homic­dio doloso;9;set/05;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Bras­lia;Homic­dio doloso;10;out/05;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Bras­lia;Homic­dio doloso;11;nov/05;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Bras­lia;Homic­dio doloso;12;dez/05;4
CENTRO-OESTE;DF;Distrito Federal;530010801;Bras­lia;Les’o corporal seguida de morte;7;jul/05;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Bras­lia;Roubo de ve­culo;1;jan/05;14
CENTRO-OESTE;DF;Distrito Federal;530010801;Bras­lia;Roubo de ve­culo;2;fev/05;7
CENTRO-OESTE;DF;Distrito Federal;530010801;Bras­lia;Roubo de ve­culo;3;mar/05;6
CENTRO-OESTE;DF;Distrito Federal;530010801;Bras­lia;Roubo de ve­culo;4;abr/05;7
CENTRO-OESTE;DF;Distrito Federal;530010801;Bras­lia;Roubo de ve­culo;5;mai/05;13
CENTRO-OESTE;DF;Distrito Federal;530010801;Bras­lia;Roubo de ve­culo;6;jun/05;15
CENTRO-OESTE;DF;Distrito Federal;530010801;Bras­lia;Roubo de ve­culo;7;jul/05;12
CENTRO-OESTE;DF;Distrito Federal;530010801;Bras­lia;Roubo de ve­culo;8;ago/05;9
CENTRO-OESTE;DF;Distrito Federal;530010801;Bras­lia;Roubo de ve­culo;9;set/05;9
CENTRO-OESTE;DF;Distrito Federal;530010801;Bras­lia;Roubo de ve­culo;10;out/05;10
CENTRO-OESTE;DF;Distrito Federal;530010801;Bras­lia;Roubo de ve­culo;11;nov/05;23
CENTRO-OESTE;DF;Distrito Federal;530010801;Bras­lia;Roubo de ve­culo;12;dez/05;16
CENTRO-OESTE;DF;Distrito Federal;530010801;Bras­lia;Roubo seguido de morte (latroc­nio);4;abr/05;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Bras­lia;Roubo seguido de morte (latroc­nio);11;nov/05;1
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Estupro;1;jan/05;2
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Estupro;4;abr/05;1
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Estupro;6;jun/05;2
